brand,rating,review,date_experience
Shein,1,Je n'ai toujours pas reçu la commande depuis le mail que vous m'avez envoyé pour me dire que la commande avait été annulée je n'ai pas été remboursé ça traîne je ne suis vraiment pas contente pour une fois,24 janvier 2025
Shein,3,Date de l'expérience: 24 janvier 2025,24 janvier 2025
Shein,2,La qualité des vêtements,24 janvier 2025
Shein,3,J ai reçu des vêtements qui ne sont pas de bonne qualité et sont déjà abîmé je l ai porter 3fois,24 janvier 2025
Shein,3,Déçue de la qualité des vêtements et des matières (bas de gamme) .,07 février 2025
Shein,2,Les prix augmentent Bien dommage les tailles pas tjr fiable.... Et la qualité de moins en moins bien,24 janvier 2025
Shein,1,mauvaise livraison,07 février 2025
Shein,3,Je ne comprends pas pourquoi je n’ai pas reçu des articles et je n’ai jamais eu de remboursement,23 janvier 2025
Shein,1,J ai pas reçu ma commande mais ils ont envoyé un mail comme quoi la commande est livré,05 février 2025
Shein,2,Bonjours j'ai un article qui ne me convient pas. Mon gilet léopard perd tout ses poids. La qualité ne me convient pas. Quelle est la démarche pour renvoyer cette article svp,06 février 2025
Shein,1,Colis non reçu … mais pour eux ci alors que la boîte au lettre pris en photo ce n’est pas la mienne !! Voleur !!!,23 janvier 2025
Shein,3,Très bien passerUne seule chose les crayons feutre son tout secs. Be fonctionne pas,23 janvier 2025
Shein,2,"Mauvais choix de partenaire de livraison ! Malgré la quantité d’avis sur CIRRO PARCEL, ils continuent de travailler avec des livreurs voleurs !",05 février 2025
Shein,3,Expérience décevante sur ma dernière commande emballage abîmé et à l' intérieur beaucoup d' article cassé et abîmé.Vraiment déçu de cette commande alors que d' habitude tout va bien,23 janvier 2025
Shein,1,"1 étoile car 0 n'est pas possible.Exploitation des employés, pollution a 500%, qualité plus que pauvre et le pire, appel a la surconsommation.Vraiment honteux !",08 février 2025
Shein,1,Les feutre sont à moitier pleins j’ai écrit au service client mais aucun geste commercial e de leur part,06 février 2025
Shein,1,"Cokias arrivé dans un état déplorable, il manque des articles, après avoir contacté le service client, on me dit que c'est pas vrai ! J'attends toujours une autre réponse !",06 février 2025
Shein,1,"l'article que j'ai commandé ne correspondait pas du tout à la description, j'ai voulu le renvoyer en indiquant que je n'avais pas d'imprimante pour mettre sur le colis le bon de retour, ""que devais je faire"",  on ne m'a pas répondu, un article qui vaut quant même 59€, ce qui représente une certaine somme quand on a une petite retraite. Très très déçue.",23 janvier 2025
Shein,3,Date de l'expérience: 06 février 2025,06 février 2025
Shein,1,"J' ai reçu ma commande,et c'est n' ai pas complet car il  me prend pour une menteuse.",06 février 2025
Shein,2,Je ne suis pas satisfaite de ma commande . Maillot de bain mal coupé et robe de plage sans forme .J’ai voulu les retourner mais cela me semble compliqué,22 janvier 2025
Shein,1,Produits fabriqués avec des produits pétrochimiques et aucun suivi en cas de problèmes ( articles facturés et réglés donc tant pis💱💲💲🇨🇳🇨🇳) qualité des produits médiocre. Vive Chine 🤣 l'avenir,07 février 2025
Shein,1,"Je n’ai jamais reçu ma commande. Très déçu impossible de contacter le transporteur CIRRO en direct il veut passer que par mail… très déçu, le service clients de SHEIN c’est pareil, impossible de contacter le service en direct. TRÈS TRÈS DÉÇU, je passe une commande c’est pour la recevoir. En espérant que mon prochain colis qui a été envoyer en 2 parties et que je vais le recevoir dans ma boîte au lettres. Sinon je commanderais plus jamais !",06 février 2025
Shein,2,J ai commandé le 11 décembre pour noel et je n ai jamais rien reçu  mais heureusement  j ai été remboursé fin janvier,23 janvier 2025
Shein,1,Pas reçu la commande,06 février 2025
Shein,3,Je trouve que les produits devienne un peu trop cher . Si on achète sur Shein c'est pour le prix pas pour autre chose.,06 février 2025
Shein,1,"Bonjour,J'ai passé une commande de 275€ et je n'ai reçu qu'une partie de la commande mais Shein refuse de me rembourser. Je ne commanderais plus jamais sur ce site",23 janvier 2025
Shein,1,"Ma commande est inscrite comme livré, je n’ai jamais reçu mon colis… Je suis donc déçu",05 février 2025
Shein,1,Commande inscrite comme livrée mais jamais reçue. Réclamation faite mais des allers et retours innombrables de mails où l'on doit sans cesse répéter la même chose. A croire quels en font exprès. Des méthodes de voleurs ! Toujours pas remboursé !,02 février 2025
Shein,3,"Je suis totalement satisfaite de mon dernier achat. Cependant, je suis très mécontente d'avoir été bernée. Je m'explique ; j'ai reçu un message m'indiquant que j'avais gagné un colis gratuit moyennant 1,95 euros pour les frais de port, j'ai donc effectué ce paiement. Entourloupe !!! Je n'ai jamais reçu de colis et en plus j'ai été prélevé quelques semaines plus tard de 19,99 sans m'en informer. J'ai contesté ce prélèvement. On m'a répondu que l'on pouvait faire ""un geste"" en me remboursant 30% de cette somme. J'ai reçu un virement de 6 euros comme geste commercial. Je suis très déçue et choquée que l'on puisse prélever une somme sur mon compte sans m'en informer et que l'on ne soit même pas capable de me rembourser cette somme entièrement. Je vais donc arrêter mes achats sur votre site de voleur, et dorénavant j'irai sur le site TEMU qui vend les mêmes choses que vous mais sans faire de prélèvement sur les comptes de leurs clients sans les prévenir. C'est vraiment dommage car j'aimai beaucoup votre site.",27 janvier 2025
Shein,3,J’aime bien Shein,05 février 2025
